"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 03 17:39:03 IST 2022","Thu Nov 03 17:39:04 IST 2022","1414","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""coffee berries""",""
"passed","Thu Nov 03 17:40:25 IST 2022","Thu Nov 03 17:40:34 IST 2022","8566","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""golden hour""",""
"failed","Thu Nov 03 17:35:40 IST 2022","Thu Nov 03 17:35:48 IST 2022","8150","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""vj""",""
"passed","Thu Nov 03 17:31:08 IST 2022","Thu Nov 03 17:31:16 IST 2022","8200","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""melting statue""",""
"failed","Thu Nov 03 17:40:35 IST 2022","Thu Nov 03 17:40:36 IST 2022","505","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""goosebumps""",""
"failed","Thu Nov 03 17:42:21 IST 2022","Thu Nov 03 17:42:31 IST 2022","9858","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""park""",""
"passed","Thu Nov 03 17:35:25 IST 2022","Thu Nov 03 17:35:34 IST 2022","8849","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""tribal""",""
"passed","Thu Nov 03 17:24:23 IST 2022","Thu Nov 03 17:24:34 IST 2022","11146","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""autumn leaves""",""
"failed","Thu Nov 03 17:38:28 IST 2022","Thu Nov 03 17:38:37 IST 2022","8904","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""black children""",""
"passed","Thu Nov 03 17:26:15 IST 2022","Thu Nov 03 17:26:25 IST 2022","10251","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""cherry blossom""",""
"failed","Thu Nov 03 17:42:51 IST 2022","Thu Nov 03 17:42:51 IST 2022","441","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""scorsese""",""
"passed","Thu Nov 03 17:40:03 IST 2022","Thu Nov 03 17:40:14 IST 2022","10799","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""feeling""",""
"failed","Thu Nov 03 17:44:15 IST 2022","Thu Nov 03 17:44:16 IST 2022","575","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""time""",""
"passed","Thu Nov 03 17:33:47 IST 2022","Thu Nov 03 17:33:57 IST 2022","10397","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""street style""",""
"passed","Thu Nov 03 17:42:08 IST 2022","Thu Nov 03 17:42:17 IST 2022","8785","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""old school""",""
"passed","Thu Nov 03 17:39:10 IST 2022","Thu Nov 03 17:39:18 IST 2022","8543","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""dramatic""",""
"passed","Thu Nov 03 17:33:19 IST 2022","Thu Nov 03 17:33:30 IST 2022","11082","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""space""",""
"failed","Thu Nov 03 17:42:17 IST 2022","Thu Nov 03 17:42:21 IST 2022","4333","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""overweight""",""
"failed","Thu Nov 03 17:44:01 IST 2022","Thu Nov 03 17:44:04 IST 2022","2579","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""tea pot""",""
"failed","Thu Nov 03 17:37:51 IST 2022","Thu Nov 03 17:37:52 IST 2022","489","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""big empty space""",""
"failed","Thu Nov 03 17:30:25 IST 2022","Thu Nov 03 17:30:28 IST 2022","3122","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""humanity""",""
"passed","Thu Nov 03 17:35:12 IST 2022","Thu Nov 03 17:35:21 IST 2022","9096","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""tiktok""",""
"failed","Thu Nov 03 17:43:01 IST 2022","Thu Nov 03 17:43:07 IST 2022","6402","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""slow motion""",""
"failed","Thu Nov 03 17:42:46 IST 2022","Thu Nov 03 17:42:51 IST 2022","4966","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""school bus""",""
"passed","Thu Nov 03 17:43:07 IST 2022","Thu Nov 03 17:43:16 IST 2022","8782","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""snack""",""
"passed","Thu Nov 03 17:39:46 IST 2022","Thu Nov 03 17:39:54 IST 2022","8420","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""emotional""",""
"passed","Thu Nov 03 17:30:59 IST 2022","Thu Nov 03 17:31:08 IST 2022","8924","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""master""",""
